-4.0,4.0
[-3.99946021],[4.00084068]
[-3.99892048],[4.0016814]
[-3.99838082],[4.00252217]
[-3.99784123],[4.00336298]
[-3.99730171],[4.00420384]
[-3.99676225],[4.00504473]
[-3.99622287],[4.00588567]
[-3.99568355],[4.00672666]
[-3.9951443],[4.00756769]
[-3.99460511],[4.00840876]
[-3.994066],[4.00924988]
[-3.99352695],[4.01009103]
[-3.99298797],[4.01093224]
[-3.99244906],[4.01177348]
[-3.99191022],[4.01261477]
[-3.99137145],[4.01345611]
[-3.99083274],[4.01429748]
[-3.9902941],[4.0151389]
[-3.98975553],[4.01598037]
[-3.98921703],[4.01682187]
[-3.98867859],[4.01766342]
[-3.98814023],[4.01850502]
[-3.98760193],[4.01934666]
[-3.9870637],[4.02018834]
[-3.98652553],[4.02103006]
[-3.98598744],[4.02187183]
[-3.98544941],[4.02271364]
[-3.98491145],[4.0235555]
[-3.98437356],[4.02439739]
[-3.98383574],[4.02523934]
[-3.98329799],[4.02608132]
[-3.9827603],[4.02692335]
[-3.98222268],[4.02776542]
[-3.98168513],[4.02860754]
[-3.98114765],[4.0294497]
[-3.98061024],[4.0302919]
[-3.98007289],[4.03113415]
[-3.97953561],[4.03197643]
[-3.9789984],[4.03281877]
[-3.97846126],[4.03366114]
[-3.97792419],[4.03450356]
[-3.97738718],[4.03534603]
[-3.97685024],[4.03618853]
[-3.97631337],[4.03703108]
[-3.97577657],[4.03787367]
[-3.97523984],[4.03871631]
[-3.97470317],[4.03955899]
[-3.97416658],[4.04040171]
[-3.97363005],[4.04124448]
[-3.97309359],[4.04208729]
[-3.97255719],[4.04293014]
[-3.97202087],[4.04377304]
[-3.97148461],[4.04461598]
[-3.97094843],[4.04545896]
[-3.97041231],[4.04630198]
[-3.96987625],[4.04714505]
[-3.96934027],[4.04798817]
[-3.96880435],[4.04883132]
[-3.96826851],[4.04967452]
[-3.96773273],[4.05051776]
[-3.96719702],[4.05136105]
[-3.96666137],[4.05220438]
[-3.9661258],[4.05304775]
[-3.96559029],[4.05389117]
[-3.96505485],[4.05473462]
[-3.96451948],[4.05557813]
[-3.96398418],[4.05642167]
[-3.96344895],[4.05726526]
[-3.96291378],[4.05810889]
[-3.96237868],[4.05895257]
[-3.96184365],[4.05979629]
[-3.96130869],[4.06064005]
[-3.9607738],[4.06148385]
[-3.96023898],[4.0623277]
[-3.95970422],[4.06317159]
[-3.95916953],[4.06401552]
[-3.95863491],[4.0648595]
[-3.95810036],[4.06570352]
[-3.95756587],[4.06654758]
[-3.95703146],[4.06739169]
[-3.95649711],[4.06823584]
[-3.95596283],[4.06908003]
[-3.95542862],[4.06992427]
[-3.95489448],[4.07076855]
[-3.95436041],[4.07161287]
[-3.9538264],[4.07245724]
[-3.95329246],[4.07330165]
[-3.95275859],[4.0741461]
[-3.95222479],[4.07499059]
[-3.95169106],[4.07583513]
[-3.9511574],[4.07667971]
[-3.9506238],[4.07752434]
[-3.95009027],[4.078369]
[-3.94955681],[4.07921371]
[-3.94902342],[4.08005847]
[-3.9484901],[4.08090326]
[-3.94795684],[4.0817481]
[-3.94742366],[4.08259299]
[-3.94689054],[4.08343791]
[-3.94635749],[4.08428288]
[-3.94582451],[4.08512789]
[-3.94529159],[4.08597295]
[-3.94475875],[4.08681805]
[-3.94422597],[4.08766319]
[-3.94369326],[4.08850837]
[-3.94316062],[4.0893536]
[-3.94262805],[4.09019887]
[-3.94209555],[4.09104418]
[-3.94156311],[4.09188954]
[-3.94103075],[4.09273493]
[-3.94049845],[4.09358038]
[-3.93996622],[4.09442586]
[-3.93943406],[4.09527139]
[-3.93890196],[4.09611696]
[-3.93836994],[4.09696257]
[-3.93783798],[4.09780823]
[-3.93730609],[4.09865393]
[-3.93677427],[4.09949967]
[-3.93624252],[4.10034546]
[-3.93571084],[4.10119129]
[-3.93517923],[4.10203716]
[-3.93464768],[4.10288307]
[-3.9341162],[4.10372903]
[-3.93358479],[4.10457503]
[-3.93305345],[4.10542107]
[-3.93252218],[4.10626716]
[-3.93199098],[4.10711329]
[-3.93145984],[4.10795946]
[-3.93092877],[4.10880568]
[-3.93039777],[4.10965193]
[-3.92986684],[4.11049823]
[-3.92933598],[4.11134458]
[-3.92880519],[4.11219096]
[-3.92827446],[4.11303739]
[-3.92774381],[4.11388386]
[-3.92721322],[4.11473038]
[-3.9266827],[4.11557694]
[-3.92615225],[4.11642354]
[-3.92562186],[4.11727018]
[-3.92509155],[4.11811687]
[-3.9245613],[4.11896359]
[-3.92403113],[4.11981037]
[-3.92350102],[4.12065718]
[-3.92297098],[4.12150404]
[-3.922441],[4.12235094]
[-3.9219111],[4.12319788]
[-3.92138127],[4.12404487]
[-3.9208515],[4.1248919]
[-3.9203218],[4.12573897]
[-3.91979217],[4.12658608]
[-3.91926261],[4.12743324]
[-3.91873312],[4.12828044]
[-3.91820369],[4.12912768]
[-3.91767434],[4.12997496]
[-3.91714505],[4.13082229]
[-3.91661583],[4.13166966]
[-3.91608668],[4.13251708]
[-3.9155576],[4.13336453]
[-3.91502859],[4.13421203]
[-3.91449964],[4.13505957]
[-3.91397077],[4.13590716]
[-3.91344196],[4.13675478]
[-3.91291322],[4.13760245]
[-3.91238455],[4.13845016]
[-3.91185595],[4.13929792]
[-3.91132742],[4.14014572]
[-3.91079895],[4.14099356]
[-3.91027056],[4.14184144]
[-3.90974223],[4.14268936]
[-3.90921397],[4.14353733]
[-3.90868578],[4.14438534]
[-3.90815766],[4.1452334]
[-3.90762961],[4.14608149]
[-3.90710162],[4.14692963]
[-3.90657371],[4.14777781]
[-3.90604586],[4.14862604]
[-3.90551808],[4.1494743]
[-3.90499037],[4.15032261]
[-3.90446273],[4.15117096]
[-3.90393516],[4.15201936]
[-3.90340765],[4.1528678]
